#,sector,company_size ,How frequently do you recruit into the company/organization?,Analyze the qualities and traits of top performing employees currently in the role,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,Analyze the previous work experience from the resume,Analyze the project work carried out from the resume,Analyze the keywords which shows some competencies from the resume,Other,Online assessment (technical quiz/coding quiz),Competency OR behavioral assessment (online/offline – by some quiz or by some mental game),Short virtual chats (video call/telephonic call for the basic information extraction),Group Discussion,Project work (some technical tasks to be carried out/coding task/case-study/problem statement discussion),In-depth interview,Structured technical interview,Interview with open-ended question (to know the behavioral and other aspects of a person),Other,pre-keywords,"Do you have any documentation for your recruitment process? If yes, please upload the document","Do you have any documentation available online which can explain your recruitment process? If yes, please share the URL",industry_4point0,All of these competencies,Decision making,Initiating actions,Supervising,Working with people (Team Player),Applying expertise/technology,Entrepreneurial Thinking,Persuading,Analyzing,Creative,Innovative,Learning,Researching,Planning,Organizing,Influencing,Adaption to Change,Commercial Thinking,Disciplinary Approach,Communication quality (oral),Communication quality (written),Disciplinary Approach,interdisciplinary Approach,multidisciplinary Approach,trans-disciplinary Approach,Other,response_final
50oii4fi1ob0454aoe150oi5xa2givki,Education ,Between 50-249 employees - Medium business,Once in a Year,,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,Google Scholar Profile,,,,,,In-depth interview,,,,No,,,"No, we are not aware about Industry 4.0",,,,,,,,,,,,,,,,,,,,,,,,,,Not Applying,"Not sure is this helpful, but we would love to try"
5h6aupme8h6swc0nip5h6aupb5qi8ili,Education ,More than 250 employees - Large-sized business,Once in a Year,,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,,,,,,,In-depth interview,,,,No,,,"No, we are aware about the industry 4.0 standards, but we do not follow them",,,,,,,,,,,,,,,,,,,,,,,,,,NA,"Not sure is this helpful, but we would love to try"
55vnkwzw6klankthyvq0m755vnkwtk5l,Education ,Between 50-249 employees - Medium business,Once in a Year,,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,,Online assessment (technical quiz/coding quiz),,,,,In-depth interview,,,,No,,,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
rpa5gza76tricx43hrpa5g4habz9n8s6,Education ,More than 250 employees - Large-sized business,Round the year with rolling advertisement,Analyze the qualities and traits of top performing employees currently in the role,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,Analyze the previous work experience from the resume,,,Checking the Research Publications and Google Scholar Profile,,,,,,In-depth interview,,,,Not sure,,,"No, we are aware about the industry 4.0 standards, but we do not follow them",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,"Not sure is this helpful, but we would love to try"
e7sbtrk3u9mxa3nk2wae7szi1tstow99,Education ,Between 50-249 employees - Medium business,Round the year with rolling advertisement,Analyze the qualities and traits of top performing employees currently in the role,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,Analyze the previous work experience from the resume,,,Check out the research background and publications,,,,,,In-depth interview,,,,No,,,"No, we are not aware about Industry 4.0",,,,,,,,,,,,,,,,,,,,,,,,,,No idea about this,"No, this does not seem helpful during the recruitment process."
wyx18ajgv3ykc5wqh1wy9tj72zqge52u,Education ,Between 50-249 employees - Medium business,Round the year with rolling advertisement,Analyze the qualities and traits of top performing employees currently in the role,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,,,,Candidate's refrances from previous work place,,,,,,In-depth interview,Structured technical interview,,,No,,,"No, we are not aware about Industry 4.0",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,"Not sure is this helpful, but we would love to try"
s78df0hejob8i2its78a3i4rkmu1tph9,Finance ,More than 250 employees - Large-sized business,Round the year with rolling advertisement,Analyze the qualities and traits of top performing employees currently in the role,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,Analyze the previous work experience from the resume,Analyze the project work carried out from the resume,Analyze the keywords which shows some competencies from the resume,,,Competency OR behavioral assessment (online/offline – by some quiz or by some mental game),Short virtual chats (video call/telephonic call for the basic information extraction),,Project work (some technical tasks to be carried out/coding task/case-study/problem statement discussion),In-depth interview,,Interview with open-ended question (to know the behavioral and other aspects of a person),,Yes,,,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
dvkej12epk54odv2ynzcjj7xt5wil3t1,Finance ,Between 10-49 employees - Small-sized business,Round the year with rolling advertisement,Analyze the qualities and traits of top performing employees currently in the role,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,,,,,,Competency OR behavioral assessment (online/offline – by some quiz or by some mental game),,,Project work (some technical tasks to be carried out/coding task/case-study/problem statement discussion),In-depth interview,,,,Yes,,,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
mcpy7ly8its6ff4c9bbmcpy7lyx6n9ea,Finance ,Between 50-249 employees - Medium business,Round the year with rolling advertisement,Analyze the qualities and traits of top performing employees currently in the role,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,Analyze the previous work experience from the resume,Analyze the project work carried out from the resume,Analyze the keywords which shows some competencies from the resume,,Online assessment (technical quiz/coding quiz),,,Group Discussion,Project work (some technical tasks to be carried out/coding task/case-study/problem statement discussion),In-depth interview,Structured technical interview,Interview with open-ended question (to know the behavioral and other aspects of a person),,Yes,,,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
19rmeakkd5dlvd0c19rmeakk0ad44s76,Finance ,More than 250 employees - Large-sized business,Round the year with rolling advertisement,Analyze the qualities and traits of top performing employees currently in the role,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,Analyze the previous work experience from the resume,Analyze the project work carried out from the resume,Analyze the keywords which shows some competencies from the resume,,Online assessment (technical quiz/coding quiz),,,,Project work (some technical tasks to be carried out/coding task/case-study/problem statement discussion),In-depth interview,,,,Yes,,,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
z8y002i0p4lm1umq2rz6z8y002gafhvn,Finance ,More than 250 employees - Large-sized business,Round the year with rolling advertisement,,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,,,,,,,Short virtual chats (video call/telephonic call for the basic information extraction),,Project work (some technical tasks to be carried out/coding task/case-study/problem statement discussion),In-depth interview,,Interview with open-ended question (to know the behavioral and other aspects of a person),,Yes,,,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
g1p1b1rsikbyda28fj2xg1p1b13mepvs,Finance ,More than 250 employees - Large-sized business,Round the year with rolling advertisement,Analyze the qualities and traits of top performing employees currently in the role,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,Analyze the previous work experience from the resume,Analyze the project work carried out from the resume,Analyze the keywords which shows some competencies from the resume,,Online assessment (technical quiz/coding quiz),Competency OR behavioral assessment (online/offline – by some quiz or by some mental game),Short virtual chats (video call/telephonic call for the basic information extraction),,Project work (some technical tasks to be carried out/coding task/case-study/problem statement discussion),In-depth interview,,Interview with open-ended question (to know the behavioral and other aspects of a person),,Yes,,,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
cqw7a5qknarsfqcqw7a5r2g1yiz1xm2i,Finance ,More than 250 employees - Large-sized business,Round the year with rolling advertisement,Analyze the qualities and traits of top performing employees currently in the role,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,Analyze the previous work experience from the resume,Analyze the project work carried out from the resume,Analyze the keywords which shows some competencies from the resume,,Online assessment (technical quiz/coding quiz),,Short virtual chats (video call/telephonic call for the basic information extraction),,Project work (some technical tasks to be carried out/coding task/case-study/problem statement discussion),In-depth interview,,Interview with open-ended question (to know the behavioral and other aspects of a person),,Yes,,,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
hmzdhf21sht2ubhmzdhf9jx9fvrc6ys8,Finance ,More than 250 employees - Large-sized business,Round the year with rolling advertisement,Analyze the qualities and traits of top performing employees currently in the role,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,,,,,Online assessment (technical quiz/coding quiz),,Short virtual chats (video call/telephonic call for the basic information extraction),,Project work (some technical tasks to be carried out/coding task/case-study/problem statement discussion),In-depth interview,,,,Yes,,,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
j1m6bs9uiymdahya17h7j1m6bs9wzsph,Finance ,More than 250 employees - Large-sized business,Round the year with rolling advertisement,Analyze the qualities and traits of top performing employees currently in the role,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,Analyze the previous work experience from the resume,Analyze the project work carried out from the resume,Analyze the keywords which shows some competencies from the resume,,Online assessment (technical quiz/coding quiz),Competency OR behavioral assessment (online/offline – by some quiz or by some mental game),Short virtual chats (video call/telephonic call for the basic information extraction),Group Discussion,Project work (some technical tasks to be carried out/coding task/case-study/problem statement discussion),In-depth interview,Structured technical interview,Interview with open-ended question (to know the behavioral and other aspects of a person),,No,,,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
k372rgnsmqwi9179acpk372rgnsj948e,Finance ,More than 250 employees - Large-sized business,Once in a Year,,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,,Online assessment (technical quiz/coding quiz),,,,,In-depth interview,,,,No,,,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",,,,,,,,,,,,,,,,,,,,,,,,,,Not using 4IR,Yes
va7cdj62pdhogsva7i2j87w74owjnpi2,Finance ,Less than 10 employees - Micro-sized business,"Not fixed, As and when required",,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,,,,Goodwill frpm past companies and Licence if any,,,,,,In-depth interview,,,,Not sure,,,"No, we are aware about the industry 4.0 standards, but we do not follow them",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,"Not sure is this helpful, but we would love to try"
0b2gp0rga74nxzcnxp0b2gp0buddra8p,Finance ,Between 50-249 employees - Medium business,Round the year with rolling advertisement,,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,,Online assessment (technical quiz/coding quiz),,,,,In-depth interview,,,,Yes,,https://www.kalupurbank.com/careers/,"No, we are aware about the industry 4.0 standards, but we do not follow them",,Decision making,Initiating actions,,Working with people (Team Player),Applying expertise/technology,,Persuading,Analyzing,,,,,,Organizing,Influencing,Adaption to Change,Commercial Thinking,,Communication quality (oral),Communication quality (written),,,,,,Yes
no40k4iopoi050za50xgno40kgp4jxcb,Finance ,Between 50-249 employees - Medium business,Once in a Year,Analyze the qualities and traits of top performing employees currently in the role,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,Analyze the previous work experience from the resume,Analyze the project work carried out from the resume,Analyze the keywords which shows some competencies from the resume,,Online assessment (technical quiz/coding quiz),,Short virtual chats (video call/telephonic call for the basic information extraction),,,In-depth interview,,,,Yes,,,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
b1gpl8zikohsn1m3sxgmb1gpl5uembqp,Finance ,Less than 10 employees - Micro-sized business,"Not fixed, As and when required",,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,,,,,,,,,,,In-depth interview,,,,Not sure,,,"No, we are not aware about Industry 4.0",,,,,,,,,,,,,,,,,,,,,,,,,,NA,"Not sure is this helpful, but we would love to try"
5vzq44cz6cs20klst1cwp5vzq48jt60x,Finance ,More than 250 employees - Large-sized business,"Not fixed, As and when required",Analyze the qualities and traits of top performing employees currently in the role,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,Analyze the previous work experience from the resume,Analyze the project work carried out from the resume,Analyze the keywords which shows some competencies from the resume,,,,,,Project work (some technical tasks to be carried out/coding task/case-study/problem statement discussion),In-depth interview,Structured technical interview,Interview with open-ended question (to know the behavioral and other aspects of a person),,Yes,,,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
lkkfnauof8ws6itr1v55dlkkfnarteu5,Finance ,More than 250 employees - Large-sized business,Round the year with rolling advertisement,Analyze the qualities and traits of top performing employees currently in the role,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,Analyze the previous work experience from the resume,Analyze the project work carried out from the resume,Analyze the keywords which shows some competencies from the resume,,Online assessment (technical quiz/coding quiz),Competency OR behavioral assessment (online/offline – by some quiz or by some mental game),Short virtual chats (video call/telephonic call for the basic information extraction),,Project work (some technical tasks to be carried out/coding task/case-study/problem statement discussion),,Structured technical interview,Interview with open-ended question (to know the behavioral and other aspects of a person),Goodwill check from previous companies,Yes,,https://careers.jpmorgan.com/global/en/how-we-hire,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
4ma484n8nsm5c92es7v4ma484nlje7cq,Finance ,Between 10-49 employees - Small-sized business,"Not fixed, As and when required",Analyze the qualities and traits of top performing employees currently in the role,,,,,,Analyze the keywords which shows some competencies from the resume,,,,,,,,,Interview with open-ended question (to know the behavioral and other aspects of a person),,Yes,,,"No, we are not aware about Industry 4.0",,,,,,,,,,,,,,,,,Adaption to Change,,,,Communication quality (written),,interdisciplinary Approach,multidisciplinary Approach,,,"Not sure is this helpful, but we would love to try"
d9ddrm50vsq8cfn6w7isd9ddrm48i42h,Finance ,More than 250 employees - Large-sized business,"Not fixed, As and when required",Analyze the qualities and traits of top performing employees currently in the role,,Define the criteria for minimum technical skill set based on job description,,Analyze the previous work experience from the resume,,,,,Competency OR behavioral assessment (online/offline – by some quiz or by some mental game),Short virtual chats (video call/telephonic call for the basic information extraction),,Project work (some technical tasks to be carried out/coding task/case-study/problem statement discussion),In-depth interview,Structured technical interview,Interview with open-ended question (to know the behavioral and other aspects of a person),,Not sure,,,"No, we are not aware about Industry 4.0",,,,,,Applying expertise/technology,,,Analyzing,Creative,Innovative,,Researching,Planning,,,Adaption to Change,,,Communication quality (oral),Communication quality (written),Disciplinary Approach,,,,,"Not sure is this helpful, but we would love to try"
3l8ao1wtcmyw0pdujx3l8ai1uit7f0sd,Finance ,More than 250 employees - Large-sized business,Twice in a Year,,Define the criteria for minimum education qualification based on job description,,,,,Analyze the keywords which shows some competencies from the resume,,,,Short virtual chats (video call/telephonic call for the basic information extraction),,,,,Interview with open-ended question (to know the behavioral and other aspects of a person),,Yes,,,"No, we are aware about the industry 4.0 standards, but we do not follow them",,,Initiating actions,,Working with people (Team Player),,,,,,,Learning,,Planning,,,Adaption to Change,,Disciplinary Approach,Communication quality (oral),,Disciplinary Approach,interdisciplinary Approach,,,,"No, this does not seem helpful during the recruitment process."
ro6j6tsob7rgk08vro6j6hjuy1559m0z,Finance ,More than 250 employees - Large-sized business,"Not fixed, As and when required",,,,,Analyze the previous work experience from the resume,,,,,,,,,,,Interview with open-ended question (to know the behavioral and other aspects of a person),,Not sure,,,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",,Decision making,Initiating actions,Supervising,Working with people (Team Player),,Entrepreneurial Thinking,,Analyzing,,,Learning,,Planning,Organizing,Influencing,Adaption to Change,Commercial Thinking,Disciplinary Approach,,,Disciplinary Approach,,,,,"No, this does not seem helpful during the recruitment process."
bwxftso7dellpnj88x4obwxftso32grg,IT ,Between 50-249 employees - Medium business,Round the year with rolling advertisement,Analyze the qualities and traits of top performing employees currently in the role,Define the criteria for minimum education qualification based on job description,Define the criteria for minimum technical skill set based on job description,Define the criteria for additional technical skill set based on job description,,,,Analyse the reputation from previous company,Online assessment (technical quiz/coding quiz),,,,Project work (some technical tasks to be carried out/coding task/case-study/problem statement discussion),,Structured technical interview,Interview with open-ended question (to know the behavioral and other aspects of a person),,Yes,,,"Yes, We are trying to accommodate Industry 4.0 aspects in our company/organization",All of these competencies,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
